epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2212,3.86655,4.32371,3.24002,0,0,0,0,4.60388,4.25649,55.1711,0.072868,0.002868,0.002868
2,23.3235,3.16447,3.3833,2.46895,0,0,0,0,nan,nan,nan,0.0448124,0.00581236,0.00581236
3,34.3945,2.76805,2.97623,2.19824,0,0,0,0,6.58488,inf,402.789,0.0167372,0.00873716,0.00873716
4,43.4755,2.49549,2.7332,2.01165,0,0,0,0,4.02759,22.0538,4.53547,0.00946537,0.00946537,0.00946537
5,52.3561,2.35726,2.58981,1.90811,0.56663,0.00666,0.00431,0.00163,3.74285,52.1258,3.27033,0.00943382,0.00943382,0.00943382
6,61.4707,2.24294,2.45963,1.80946,0.53375,0.07446,0.05274,0.01563,3.28911,4.1631,2.94305,0.00940228,0.00940228,0.00940228
7,71.0714,2.14949,2.38006,1.77035,0.55617,0.12234,0.10574,0.05444,2.07144,4.41862,1.95675,0.00937074,0.00937074,0.00937074
8,80.3287,2.12247,2.29728,1.75441,0.8407,0.08562,0.10529,0.04755,2.38989,3.02205,2.46284,0.00933919,0.00933919,0.00933919
9,89.9688,2.09534,2.26054,1.73742,0.64515,0.13312,0.1645,0.06811,2.11294,3.56986,1.98728,0.00930765,0.00930765,0.00930765
10,99.5774,2.09144,2.24855,1.72287,0.67637,0.09728,0.12142,0.06147,2.09833,4.07743,1.98146,0.00927611,0.00927611,0.00927611
11,109.394,2.00401,2.16216,1.67618,0.50601,0.20568,0.12591,0.05922,2.0967,5.58454,1.9915,0.00924456,0.00924456,0.00924456
12,118.939,2.00153,2.16009,1.66738,0.71678,0.18543,0.19059,0.09854,2.06456,2.21743,1.94919,0.00921302,0.00921302,0.00921302
13,128.593,1.97755,2.08219,1.65624,0.34933,0.22795,0.15834,0.07539,2.02608,2.18251,2.00074,0.00918147,0.00918147,0.00918147
14,138.5,1.93684,2.06425,1.64393,0.64014,0.13419,0.16873,0.08794,2.15436,2.42371,1.97907,0.00914993,0.00914993,0.00914993
15,147.94,1.89942,2.00958,1.6256,0.54003,0.2323,0.24108,0.11414,1.90577,2.01417,1.866,0.00911839,0.00911839,0.00911839
16,157.387,1.90087,1.98429,1.60912,0.41778,0.2669,0.21697,0.10807,1.89387,2.16588,1.80759,0.00908684,0.00908684,0.00908684
17,166.889,1.86685,1.9238,1.58301,0.3581,0.24445,0.15174,0.06821,2.04841,2.30293,1.91282,0.0090553,0.0090553,0.0090553
18,176.715,1.86899,1.92889,1.59067,0.71074,0.13854,0.21137,0.10923,1.83919,2.12905,1.75172,0.00902375,0.00902375,0.00902375
19,186.404,1.86984,1.92276,1.59583,0.28074,0.31891,0.24889,0.13427,1.93202,2.08645,1.87505,0.00899221,0.00899221,0.00899221
20,196.155,1.81902,1.86001,1.55164,0.60102,0.19242,0.19257,0.09633,1.86947,2.34517,1.78676,0.00896067,0.00896067,0.00896067
21,205.915,1.83025,1.85797,1.56226,0.80935,0.09333,0.13908,0.06725,2.55644,2.62142,2.45252,0.00892912,0.00892912,0.00892912
22,215.577,1.81701,1.86534,1.56227,0.62577,0.18662,0.19837,0.09867,2.00321,2.14872,1.89907,0.00889758,0.00889758,0.00889758
23,225.217,1.8226,1.89094,1.57637,0.57071,0.23336,0.23801,0.11363,1.74695,2.72205,1.80491,0.00886604,0.00886604,0.00886604
24,234.761,1.77983,1.80866,1.52915,0.58278,0.35436,0.30045,0.14119,1.74172,1.92776,1.75327,0.00883449,0.00883449,0.00883449
25,244.357,1.79603,1.81587,1.54093,0.6654,0.239,0.28237,0.13435,1.89557,1.86938,1.85938,0.00880295,0.00880295,0.00880295
26,253.73,1.78066,1.79458,1.53313,0.72357,0.26972,0.34168,0.16101,1.81812,2.00247,1.80956,0.0087714,0.0087714,0.0087714
27,263.314,1.76579,1.77438,1.51635,0.68558,0.23283,0.2339,0.11714,1.90561,1.94073,1.83031,0.00873986,0.00873986,0.00873986
28,272.811,1.76872,1.77972,1.54391,0.59232,0.2199,0.25722,0.12597,1.88243,1.85895,1.81097,0.00870832,0.00870832,0.00870832
29,282.322,1.76166,1.78061,1.52607,0.59559,0.23312,0.21078,0.09077,2.20084,2.58771,2.03789,0.00867677,0.00867677,0.00867677
30,291.889,1.73713,1.75355,1.50676,0.45913,0.32589,0.30118,0.14856,1.85087,1.82812,1.83447,0.00864523,0.00864523,0.00864523
31,301.388,1.7219,1.7199,1.49213,0.43632,0.4168,0.31999,0.14553,1.78456,1.71343,1.75251,0.00861368,0.00861368,0.00861368
32,310.978,1.72756,1.70671,1.50228,0.48071,0.40045,0.25439,0.12428,1.81428,1.69652,1.77729,0.00858214,0.00858214,0.00858214
33,320.485,1.71275,1.66167,1.47492,0.69184,0.27678,0.28803,0.13174,1.78082,1.78459,1.7752,0.0085506,0.0085506,0.0085506
34,330.273,1.73061,1.68515,1.5027,0.47463,0.24635,0.21105,0.09873,2.06144,2.37795,1.99022,0.00851905,0.00851905,0.00851905
35,340.029,1.72496,1.70248,1.51385,0.50897,0.32314,0.27866,0.13866,1.75991,1.66712,1.71164,0.00848751,0.00848751,0.00848751
36,349.541,1.68647,1.66867,1.48991,0.51816,0.27685,0.17897,0.07447,2.29386,2.7798,2.08431,0.00845596,0.00845596,0.00845596
