epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9757,2.18138,3.63056,1.65786,0,0,0,0,nan,nan,nan,0.072868,0.002868,0.002868
2,33.113,1.94798,2.46167,1.54622,0,0,0,0,nan,nan,nan,0.0448124,0.00581236,0.00581236
3,43.7755,1.91331,2.1733,1.52044,0,0,0,0,4.98129,inf,63.483,0.0167372,0.00873716,0.00873716
4,52.876,1.87564,2.08103,1.51956,0.06486,0.00575,0.00591,0.00334,3.51734,37.5561,5.87848,0.00946537,0.00946537,0.00946537
5,61.931,1.83118,1.97421,1.50063,0.18679,0.03777,0.01375,0.00648,2.89051,18.0382,2.496,0.00943382,0.00943382,0.00943382
6,71.1468,1.77044,1.88585,1.45174,0.02287,0.08953,0.01167,0.00305,3.23183,8.40096,2.82477,0.00940228,0.00940228,0.00940228
7,80.1383,1.74088,1.86567,1.44565,0.62709,0.17412,0.13034,0.05864,1.89787,5.532,1.68984,0.00937074,0.00937074,0.00937074
8,89.0234,1.73671,1.83649,1.43681,0.78394,0.10888,0.12077,0.05566,2.52958,6.03172,2.23874,0.00933919,0.00933919,0.00933919
9,97.9468,1.71428,1.82043,1.44989,0.52815,0.14743,0.14192,0.08295,1.87653,2.87913,1.66483,0.00930765,0.00930765,0.00930765
10,106.926,1.7014,1.77258,1.4246,0.48519,0.22672,0.13446,0.0579,2.50953,4.27573,2.05372,0.00927611,0.00927611,0.00927611
11,116.46,1.67458,1.70726,1.41402,0.77227,0.2037,0.22871,0.09078,2.12759,2.7607,2.03089,0.00924456,0.00924456,0.00924456
12,126.057,1.6653,1.70686,1.40723,0.46061,0.21434,0.15784,0.08704,1.97316,4.3293,1.76862,0.00921302,0.00921302,0.00921302
13,135.485,1.65584,1.66779,1.40244,0.56412,0.2552,0.17897,0.0986,1.86976,2.25109,1.72596,0.00918147,0.00918147,0.00918147
14,145.059,1.63776,1.6883,1.40567,0.36022,0.30477,0.21991,0.11493,1.81287,1.80863,1.60325,0.00914993,0.00914993,0.00914993
15,154.44,1.63164,1.65987,1.39812,0.6867,0.20819,0.25259,0.122,1.88188,1.68211,1.60843,0.00911839,0.00911839,0.00911839
16,163.823,1.63262,1.64597,1.38845,0.59196,0.33042,0.2154,0.10988,1.97229,2.31503,1.74189,0.00908684,0.00908684,0.00908684
17,173.03,1.60731,1.59464,1.37603,0.7772,0.26494,0.3075,0.17801,1.69816,1.85332,1.61933,0.0090553,0.0090553,0.0090553
18,182.81,1.60741,1.60449,1.387,0.36356,0.34236,0.2402,0.1205,1.95373,1.73655,1.69656,0.00902375,0.00902375,0.00902375
19,192.292,1.60227,1.60129,1.38538,0.61834,0.25758,0.27289,0.15227,1.78709,1.7574,1.63362,0.00899221,0.00899221,0.00899221
20,201.742,1.5915,1.57172,1.36092,0.54918,0.16625,0.19053,0.10028,2.12723,2.26007,1.78599,0.00896067,0.00896067,0.00896067
21,211.299,1.61821,1.57744,1.37974,0.66456,0.3711,0.28815,0.15147,1.78168,1.84118,1.64047,0.00892912,0.00892912,0.00892912
22,220.646,1.57916,1.5585,1.36839,0.65939,0.12766,0.13335,0.05501,2.86309,4.59329,2.49584,0.00889758,0.00889758,0.00889758
23,229.961,1.59564,1.59289,1.38236,0.66946,0.31072,0.24283,0.13282,1.68439,1.87244,1.52531,0.00886604,0.00886604,0.00886604
24,239.548,1.55413,1.53626,1.34498,0.04281,0.20047,0.07217,0.03509,2.4593,4.27115,1.81454,0.00883449,0.00883449,0.00883449
25,248.981,1.58044,1.54337,1.35561,0.39781,0.31905,0.28427,0.14758,1.77226,1.88327,1.53691,0.00880295,0.00880295,0.00880295
26,258.442,1.56044,1.51879,1.34633,0.62479,0.28127,0.28254,0.15118,1.79915,2.07615,1.62084,0.0087714,0.0087714,0.0087714
27,268.181,1.53209,1.50258,1.33325,0.55553,0.32258,0.34135,0.1819,1.84439,1.68456,1.74906,0.00873986,0.00873986,0.00873986
28,278.148,1.54498,1.51144,1.35478,0.8221,0.21763,0.27531,0.16519,1.77891,2.08123,1.71363,0.00870832,0.00870832,0.00870832
29,287.644,1.54779,1.50366,1.34692,0.78778,0.24757,0.28481,0.16429,1.72093,1.72121,1.53866,0.00867677,0.00867677,0.00867677
30,297.096,1.54091,1.48363,1.33225,0.81567,0.05357,0.12939,0.07784,2.47393,3.90609,1.92429,0.00864523,0.00864523,0.00864523
31,306.498,1.51624,1.46567,1.31968,0.52709,0.23928,0.18897,0.10707,1.77755,1.74573,1.54898,0.00861368,0.00861368,0.00861368
32,315.911,1.52748,1.47885,1.33266,0.66449,0.29628,0.35712,0.20232,1.67075,1.45661,1.49499,0.00858214,0.00858214,0.00858214
33,325.406,1.50961,1.43706,1.30974,0.63074,0.22852,0.30176,0.15948,2.05463,2.44202,1.7714,0.0085506,0.0085506,0.0085506
34,334.965,1.52099,1.45393,1.3339,0.58808,0.0948,0.04167,0.01153,3.5491,6.05562,3.24683,0.00851905,0.00851905,0.00851905
35,344.456,1.5303,1.47675,1.346,0.76853,0.30007,0.37416,0.19107,1.70254,1.73741,1.57893,0.00848751,0.00848751,0.00848751
36,353.937,1.52525,1.44564,1.33518,0.34434,0.21539,0.1619,0.08984,2.09381,3.31676,1.85447,0.00845596,0.00845596,0.00845596
37,363.497,1.51689,1.46278,1.33075,0.59367,0.3313,0.31029,0.15465,1.65959,2.30866,1.51041,0.00842442,0.00842442,0.00842442
38,372.979,1.50713,1.44134,1.33195,0.62839,0.31546,0.2916,0.15668,1.81221,1.83973,1.69921,0.00839288,0.00839288,0.00839288
39,382.397,1.50811,1.43043,1.32145,0.67856,0.29946,0.33566,0.18341,1.7125,1.5739,1.5465,0.00836133,0.00836133,0.00836133
40,391.783,1.49992,1.43264,1.30822,0.66551,0.28455,0.31691,0.19733,1.71648,2.02799,1.62001,0.00832979,0.00832979,0.00832979
41,401.133,1.50996,1.4456,1.31756,0.70911,0.33944,0.36926,0.21435,1.6493,1.59219,1.52312,0.00829825,0.00829825,0.00829825
42,410.522,1.4922,1.43749,1.31365,0.6988,0.07419,0.09064,0.05088,2.83002,3.76302,2.29355,0.0082667,0.0082667,0.0082667
43,420.111,1.49178,1.41999,1.32427,0.59461,0.34769,0.31144,0.17543,1.78333,1.97624,1.57328,0.00823516,0.00823516,0.00823516
44,429.75,1.53144,1.41616,1.33843,0.46573,0.34654,0.30522,0.15116,1.71612,1.90059,1.6246,0.00820361,0.00820361,0.00820361
45,439.115,1.50889,1.40511,1.31949,0.67045,0.23264,0.31326,0.18509,1.85852,1.90531,1.66752,0.00817207,0.00817207,0.00817207
46,448.512,1.49892,1.42666,1.31889,0.39684,0.47522,0.35538,0.22453,1.59208,1.55304,1.50445,0.00814053,0.00814053,0.00814053
47,458.086,1.52354,1.41694,1.32771,0.87507,0.26691,0.34638,0.20016,1.63221,1.55322,1.51755,0.00810898,0.00810898,0.00810898
48,467.184,1.47797,1.3921,1.30112,0.46464,0.37907,0.36847,0.21168,1.67855,1.59449,1.56339,0.00807744,0.00807744,0.00807744
49,476.23,1.48372,1.4078,1.31036,0.38482,0.09968,0.15523,0.09346,2.23468,3.36263,1.97434,0.00804589,0.00804589,0.00804589
50,485.182,1.47122,1.38402,1.30537,0.68663,0.30616,0.31563,0.18449,1.74982,1.97818,1.65329,0.00801435,0.00801435,0.00801435
51,494.496,1.47187,1.38509,1.30273,0.73604,0.23418,0.29632,0.18945,1.64655,1.88774,1.6071,0.00798281,0.00798281,0.00798281
52,503.885,1.48418,1.40873,1.31194,0.60157,0.33372,0.34852,0.16361,1.68227,1.55406,1.50578,0.00795126,0.00795126,0.00795126
53,513.181,1.47586,1.39524,1.30874,0.49953,0.13806,0.17205,0.10528,2.13959,3.29667,1.93398,0.00791972,0.00791972,0.00791972
54,522.602,1.46354,1.37969,1.30256,0.50242,0.38759,0.34618,0.21297,1.56977,1.5117,1.50544,0.00788818,0.00788818,0.00788818
55,531.869,1.45234,1.34824,1.28884,0.57506,0.39958,0.39517,0.22023,1.74617,1.9224,1.55866,0.00785663,0.00785663,0.00785663
56,541.13,1.45023,1.34388,1.29578,0.43785,0.48701,0.3732,0.20837,1.7377,1.68481,1.5528,0.00782509,0.00782509,0.00782509
57,550.546,1.45948,1.33723,1.28302,0.50495,0.39098,0.36665,0.19968,1.65634,1.488,1.51096,0.00779354,0.00779354,0.00779354
58,560.127,1.45479,1.34223,1.29873,0.54946,0.38452,0.39002,0.21303,1.61503,1.55804,1.5172,0.007762,0.007762,0.007762
59,569.825,1.46277,1.36658,1.29449,0.64714,0.27695,0.26842,0.15892,1.62451,1.88351,1.51979,0.00773046,0.00773046,0.00773046
60,579.603,1.43074,1.33662,1.27755,0.57044,0.26053,0.12962,0.0643,2.50303,3.7024,2.12391,0.00769891,0.00769891,0.00769891
61,589.162,1.43815,1.34989,1.2938,0.68069,0.27912,0.31863,0.19492,1.57625,1.51282,1.50124,0.00766737,0.00766737,0.00766737
62,598.784,1.41103,1.31649,1.26924,0.65089,0.36162,0.34246,0.20711,1.60549,1.7051,1.49336,0.00763582,0.00763582,0.00763582
63,608.047,1.45421,1.34387,1.28762,0.60652,0.34524,0.41485,0.22036,1.65413,1.38596,1.47576,0.00760428,0.00760428,0.00760428
64,617.584,1.43408,1.3328,1.28707,0.81072,0.27439,0.34412,0.19861,1.633,1.33488,1.48812,0.00757274,0.00757274,0.00757274
65,627.213,1.4661,1.35948,1.3071,0.57564,0.32329,0.35006,0.19032,1.64884,1.70575,1.45939,0.00754119,0.00754119,0.00754119
66,636.703,1.43795,1.32494,1.28281,0.57456,0.15736,0.16937,0.08871,2.1941,3.38932,1.95294,0.00750965,0.00750965,0.00750965
67,646.237,1.43263,1.31144,1.27698,0.46207,0.44488,0.37003,0.19494,1.65058,1.44029,1.54669,0.00747811,0.00747811,0.00747811
68,655.567,1.42211,1.31336,1.28428,0.6386,0.23289,0.13379,0.07155,2.70809,3.25002,2.2956,0.00744656,0.00744656,0.00744656
69,664.995,1.41748,1.29536,1.27781,0.56874,0.39586,0.38509,0.22087,1.70856,1.54831,1.57863,0.00741502,0.00741502,0.00741502
70,674.636,1.44042,1.35815,1.29959,0.53674,0.45367,0.4099,0.21539,1.67796,1.37905,1.54294,0.00738347,0.00738347,0.00738347
71,684.916,1.42698,1.30612,1.28636,0.62422,0.38163,0.39709,0.23839,1.67284,1.53436,1.57155,0.00735193,0.00735193,0.00735193
72,695.552,1.41636,1.2908,1.26583,0.82768,0.34057,0.44822,0.26029,1.61557,1.33673,1.502,0.00732039,0.00732039,0.00732039
73,706.097,1.4205,1.31231,1.26851,0.57524,0.35147,0.36362,0.20832,1.59399,1.43997,1.49159,0.00728884,0.00728884,0.00728884
74,715.983,1.4086,1.28756,1.27657,0.48309,0.46499,0.39443,0.20201,1.68069,1.37805,1.54101,0.0072573,0.0072573,0.0072573
