epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0186,2.12893,3.00273,1.60872,0.00056,0.08702,0.00035,0.00011,5.14151,inf,452.132,0.07144,0.00301895,0.00301895
2,42.1916,1.90072,2.12735,1.52644,0,0,0,0,nan,nan,nan,0.0421798,0.00608961,0.00608961
3,55.8706,1.87087,1.98824,1.51174,0.20452,0.11058,0.04157,0.01323,3.21423,inf,4.29032,0.0128993,0.00913989,0.00913989
