epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0054,1.04591,0.79573,0.57612,0.67503,0.47702,0.50762,0.27762,1.70581,1.61648,0.94081,0.06646,0.00396,0.00396
2,35.4581,1.11059,0.89498,0.59394,0.56792,0.36084,0.3584,0.19259,1.62125,2.1648,0.91766,0.0320967,0.00772168,0.00772168
3,50.5549,1.13565,0.93423,0.60106,0.63989,0.42208,0.44856,0.24535,1.52761,1.6803,0.85017,0.00986096,0.00986096,0.00986096
4,65.4791,1.13413,0.93245,0.60321,0.63001,0.4553,0.46073,0.25039,1.65049,1.70494,0.94848,0.00951144,0.00951144,0.00951144
5,80.3025,1.14634,0.92622,0.60205,0.45912,0.39852,0.38207,0.21658,1.66324,2.16633,0.87948,0.00916193,0.00916193,0.00916193
6,95.1572,1.12036,0.90909,0.59306,0.6678,0.42005,0.45008,0.22823,1.62915,1.62176,0.86587,0.00881241,0.00881241,0.00881241
7,110.02,1.13524,0.92696,0.60317,0.61979,0.44344,0.47191,0.25729,1.58421,1.56065,0.86476,0.00846289,0.00846289,0.00846289
8,124.833,1.12679,0.92352,0.60183,0.62815,0.44755,0.45345,0.27276,1.59369,1.90361,0.87249,0.00811337,0.00811337,0.00811337
9,139.798,1.11533,0.89539,0.59386,0.63797,0.5244,0.55391,0.31808,1.4889,1.37462,0.82453,0.00776385,0.00776385,0.00776385
10,154.819,1.12406,0.91356,0.59896,0.61554,0.47727,0.46284,0.26677,1.57799,1.85286,0.84431,0.00741433,0.00741433,0.00741433
11,168.825,1.10703,0.90339,0.59385,0.64768,0.4819,0.47524,0.25818,1.53289,2.32146,0.85642,0.00706482,0.00706482,0.00706482
12,182.56,1.1012,0.89136,0.59207,0.58864,0.56744,0.54609,0.30006,1.51765,1.40267,0.84071,0.0067153,0.0067153,0.0067153
13,196.68,1.09614,0.85763,0.5867,0.66956,0.50143,0.51046,0.30453,1.52443,1.55719,0.84474,0.00636578,0.00636578,0.00636578
14,210.577,1.09873,0.8743,0.59227,0.57963,0.54858,0.58724,0.32739,1.4558,1.27844,0.80203,0.00601626,0.00601626,0.00601626
15,225.068,1.08861,0.86028,0.58799,0.56071,0.52501,0.5395,0.3051,1.46491,1.32696,0.81471,0.00566674,0.00566674,0.00566674
16,239.868,1.08919,0.8539,0.58818,0.58531,0.4574,0.50706,0.29693,1.51646,1.99464,0.86478,0.00531722,0.00531722,0.00531722
17,254.606,1.09225,0.86207,0.58819,0.58536,0.49871,0.54803,0.31114,1.46827,1.28107,0.80488,0.00496771,0.00496771,0.00496771
18,269.503,1.07719,0.83935,0.58298,0.53548,0.52903,0.54424,0.30251,1.47939,1.35822,0.81368,0.00461819,0.00461819,0.00461819
19,284.485,1.07648,0.8408,0.586,0.71684,0.55397,0.58721,0.34166,1.44641,1.28235,0.80439,0.00426867,0.00426867,0.00426867
20,298.726,1.06925,0.82692,0.58148,0.57836,0.57881,0.58189,0.3395,1.42832,1.26714,0.79564,0.00391915,0.00391915,0.00391915
21,338.57,1.05418,0.77406,0.59187,0.7221,0.54171,0.58341,0.34123,1.3999,1.24002,0.79167,0.00356963,0.00356963,0.00356963
22,352.222,1.04147,0.75399,0.59004,0.67578,0.54567,0.55263,0.32165,1.47845,1.39394,0.82716,0.00322011,0.00322011,0.00322011
23,365.858,1.03439,0.74186,0.58653,0.74161,0.54079,0.59833,0.34774,1.42633,1.22729,0.79687,0.0028706,0.0028706,0.0028706
24,380.346,1.0187,0.72341,0.58291,0.66322,0.57197,0.58119,0.34007,1.41551,1.29306,0.7862,0.00252108,0.00252108,0.00252108
25,395.486,1.01466,0.71672,0.57863,0.73205,0.58081,0.60328,0.35422,1.42946,1.25416,0.79888,0.00217156,0.00217156,0.00217156
26,410.19,1.00532,0.70491,0.57856,0.76259,0.57084,0.60658,0.36015,1.40983,1.16547,0.78819,0.00182204,0.00182204,0.00182204
27,423.907,0.99687,0.6997,0.57732,0.74546,0.59448,0.62031,0.3758,1.37144,1.13057,0.77067,0.00147252,0.00147252,0.00147252
28,438.106,0.98357,0.6781,0.56959,0.68898,0.58764,0.62378,0.38027,1.38212,1.11822,0.7765,0.001123,0.001123,0.001123
29,452.022,0.97558,0.67277,0.56987,0.70409,0.58079,0.62696,0.38016,1.37017,1.10254,0.76796,0.000773485,0.000773485,0.000773485
30,465.741,0.96733,0.65348,0.56785,0.65133,0.59525,0.62808,0.37998,1.36137,1.10587,0.76758,0.000423966,0.000423966,0.000423966
