epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.28305,1.30751,3.68672,1.75373,0,0,0,0,0.98342,93.9451,2.17331,0.072679,0.002679,0.002679
2,14.1326,1.18627,2.52201,1.62746,0.11713,0.13793,0.09397,0.05984,1.12261,116.02,2.61125,0.0444293,0.00542933,0.00542933
3,20.5687,1.14275,2.18588,1.59562,0.06346,0.35825,0.1613,0.07264,1.13976,92.3982,2.44998,0.0161614,0.0081614,0.0081614
4,26.8016,1.11331,2.05829,1.57597,0.65419,0.17432,0.19867,0.09674,0.94563,12.0001,1.86791,0.00884164,0.00884164,0.00884164
5,32.9878,1.08531,1.97536,1.54521,0.75839,0.22098,0.25196,0.14197,0.86431,7.72626,1.6109,0.00881218,0.00881218,0.00881218
6,39.1239,1.07002,1.90235,1.54164,0.78151,0.29246,0.35687,0.19039,0.86613,5.81726,1.5261,0.00878273,0.00878273,0.00878273
7,45.3909,1.05825,1.85686,1.52605,0.51284,0.47366,0.40908,0.23874,0.902,2.45295,1.54585,0.00875328,0.00875328,0.00875328
8,51.502,1.04122,1.82835,1.51812,0.49431,0.62709,0.45827,0.26372,0.81954,3.19455,1.45056,0.00872382,0.00872382,0.00872382
9,57.6034,1.03002,1.81363,1.51287,0.52704,0.5609,0.52498,0.30769,0.78284,2.01977,1.4003,0.00869437,0.00869437,0.00869437
10,63.7611,1.02006,1.77842,1.50876,0.45501,0.65982,0.64385,0.33048,0.80787,1.66473,1.424,0.00866492,0.00866492,0.00866492
11,69.8971,1.00351,1.71916,1.4908,0.71786,0.54514,0.62985,0.36004,0.78078,1.60426,1.38187,0.00863546,0.00863546,0.00863546
12,76.0239,1.00426,1.71025,1.49705,0.61337,0.47937,0.51113,0.29049,0.803,2.02654,1.40219,0.00860601,0.00860601,0.00860601
13,82.1764,0.98851,1.69828,1.48922,0.66446,0.64335,0.57847,0.33636,0.80714,1.7558,1.41378,0.00857655,0.00857655,0.00857655
14,88.4841,0.98652,1.666,1.48076,0.59114,0.68128,0.62178,0.41058,0.75462,1.25192,1.36468,0.0085471,0.0085471,0.0085471
15,94.628,0.99108,1.6749,1.48329,0.77411,0.43744,0.54791,0.3034,0.7858,1.66065,1.39738,0.00851765,0.00851765,0.00851765
16,100.882,0.97603,1.65352,1.47126,0.44543,0.72495,0.6304,0.42389,0.78202,1.48903,1.40305,0.00848819,0.00848819,0.00848819
17,107.14,0.98011,1.65281,1.48608,0.38001,0.89821,0.63355,0.37098,0.82611,1.4966,1.41484,0.00845874,0.00845874,0.00845874
18,113.242,0.97413,1.61871,1.48581,0.55841,0.66304,0.65396,0.40353,0.78749,1.34447,1.3532,0.00842929,0.00842929,0.00842929
19,119.326,0.9639,1.58981,1.47358,0.73253,0.607,0.67651,0.39863,0.80063,1.31265,1.37799,0.00839983,0.00839983,0.00839983
20,125.453,0.97462,1.59346,1.4864,0.64307,0.63656,0.78486,0.48639,0.78851,1.45809,1.38081,0.00837038,0.00837038,0.00837038
21,131.655,0.95825,1.57805,1.4574,0.77102,0.63608,0.73288,0.45266,0.767,1.22149,1.36632,0.00834092,0.00834092,0.00834092
22,137.75,0.95223,1.58106,1.45995,0.71358,0.67378,0.78627,0.53877,0.70574,1.25708,1.28075,0.00831147,0.00831147,0.00831147
23,143.831,0.96417,1.57965,1.47432,0.47574,0.92675,0.77038,0.47213,0.78915,1.22532,1.36105,0.00828202,0.00828202,0.00828202
24,149.897,0.96624,1.58265,1.47767,0.52187,0.86293,0.72416,0.42523,0.76086,1.3865,1.33723,0.00825256,0.00825256,0.00825256
25,156.054,0.94676,1.54329,1.45856,0.64305,0.71365,0.67358,0.46474,0.72467,1.27776,1.31784,0.00822311,0.00822311,0.00822311
26,162.85,0.94398,1.53264,1.4505,0.77559,0.68379,0.67578,0.4387,0.72607,1.23241,1.30573,0.00819365,0.00819365,0.00819365
27,169.186,0.94095,1.51944,1.44056,0.7429,0.67546,0.70658,0.45172,0.73198,1.33607,1.31554,0.0081642,0.0081642,0.0081642
28,175.409,0.95559,1.55358,1.46594,0.58724,0.86492,0.80664,0.52635,0.76837,1.31138,1.33973,0.00813475,0.00813475,0.00813475
29,181.56,0.93137,1.48793,1.43724,0.57605,0.83583,0.78906,0.46645,0.74672,1.31405,1.32789,0.00810529,0.00810529,0.00810529
30,187.888,0.94665,1.51996,1.44092,0.44819,0.83559,0.70288,0.48151,0.75369,1.18527,1.33671,0.00807584,0.00807584,0.00807584
31,194.114,0.95079,1.53129,1.46051,0.85841,0.66404,0.69318,0.43242,0.72774,1.19719,1.32278,0.00804639,0.00804639,0.00804639
32,200.26,0.94374,1.52005,1.45202,0.45748,0.86638,0.7378,0.45159,0.73574,1.20892,1.31594,0.00801693,0.00801693,0.00801693
