epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,376.004,0.90407,1.42367,1.4248,0.81588,0.54633,0.65483,0.43241,0.86681,1.3661,1.4705,0.00769294,0.00769294,0.00769294
44,384.849,0.91014,1.43154,1.43609,0.58567,0.64989,0.72403,0.45297,0.79253,1.20316,1.39143,0.00766349,0.00766349,0.00766349
45,393.503,0.90761,1.41848,1.42237,0.76539,0.37518,0.53654,0.29694,0.88299,1.58201,1.41659,0.00763403,0.00763403,0.00763403
46,402.152,0.90372,1.41094,1.43123,0.83418,0.66773,0.81983,0.53172,0.80108,1.03207,1.36903,0.00760458,0.00760458,0.00760458
47,410.76,0.90983,1.43852,1.42478,0.83185,0.65674,0.78518,0.52674,0.76415,1.20351,1.35409,0.00757512,0.00757512,0.00757512
48,419.408,0.90241,1.42192,1.42017,0.51806,0.43371,0.52977,0.3634,1.05606,2.13615,1.65979,0.00754567,0.00754567,0.00754567
49,428.128,0.90899,1.43266,1.43554,0.57294,0.8016,0.76164,0.49712,0.77257,1.06662,1.32935,0.00751622,0.00751622,0.00751622
50,436.736,0.885,1.39783,1.40633,0.47251,0.80318,0.76722,0.54283,0.73478,1.09018,1.30976,0.00748676,0.00748676,0.00748676
51,445.322,0.90622,1.40726,1.43681,0.54464,0.78819,0.78237,0.58275,0.72623,1.2821,1.29573,0.00745731,0.00745731,0.00745731
52,453.908,0.90619,1.42599,1.42281,0.5107,0.75437,0.67706,0.48895,0.7505,1.17192,1.326,0.00742786,0.00742786,0.00742786
53,462.499,0.89423,1.40179,1.4219,0.76486,0.73276,0.78414,0.54911,0.74611,0.9614,1.29856,0.0073984,0.0073984,0.0073984
54,471.086,0.89318,1.39332,1.41478,0.62256,0.72352,0.77067,0.50371,0.751,1.06898,1.30985,0.00736895,0.00736895,0.00736895
55,479.761,0.89718,1.40077,1.41478,0.80109,0.77562,0.80301,0.56435,0.72185,1.12108,1.28636,0.00733949,0.00733949,0.00733949
56,488.414,0.89003,1.3676,1.40407,0.49713,0.64961,0.66013,0.40703,0.77747,1.06937,1.36213,0.00731004,0.00731004,0.00731004
57,497.04,0.88747,1.35389,1.40837,0.43519,0.73149,0.67812,0.4718,0.76281,1.31169,1.34209,0.00728059,0.00728059,0.00728059
58,505.661,0.88985,1.36605,1.40924,0.66048,0.45018,0.57829,0.3158,0.89414,1.1284,1.48277,0.00725113,0.00725113,0.00725113
59,514.265,0.89319,1.3452,1.40653,0.77745,0.81758,0.86808,0.61264,0.71915,0.9775,1.28094,0.00722168,0.00722168,0.00722168
60,522.864,0.89128,1.36903,1.40318,0.76685,0.48111,0.63579,0.36242,0.86404,1.34417,1.42002,0.00719222,0.00719222,0.00719222
61,531.541,0.88426,1.37001,1.40915,0.65668,0.85961,0.84443,0.55935,0.71387,1.0551,1.30553,0.00716277,0.00716277,0.00716277
62,540.121,0.88519,1.36784,1.40425,0.59146,0.57487,0.63477,0.4042,0.94244,1.4097,1.53994,0.00713332,0.00713332,0.00713332
63,548.704,0.87826,1.33786,1.38877,0.48217,0.80614,0.769,0.50993,0.85107,1.23579,1.45352,0.00710386,0.00710386,0.00710386
64,557.363,0.87555,1.34037,1.39165,0.51368,0.67273,0.63598,0.41357,0.73495,1.19868,1.30359,0.00707441,0.00707441,0.00707441
65,565.967,0.879,1.35137,1.41452,0.86998,0.71423,0.81404,0.5671,0.78357,1.15282,1.3749,0.00704496,0.00704496,0.00704496
66,574.61,0.87754,1.33857,1.38827,0.50492,0.84137,0.73567,0.46615,0.80527,1.26847,1.37026,0.0070155,0.0070155,0.0070155
67,583.169,0.8783,1.35377,1.40422,0.54283,0.8399,0.79612,0.55381,0.72012,0.98282,1.29218,0.00698605,0.00698605,0.00698605
68,591.787,0.86733,1.32955,1.38988,0.70939,0.77815,0.71046,0.49788,0.70965,1.1406,1.27845,0.00695659,0.00695659,0.00695659
69,600.409,0.8728,1.33936,1.40871,0.4053,0.86359,0.67699,0.43621,0.80393,1.09847,1.37108,0.00692714,0.00692714,0.00692714
