fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.66329,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.67874,0.00893,0.01051,0.95651,0.00042,2.49692,0.64691,4.68758,0.50305,1.60936,0.015,0.55544,0.34815,0.0,0.1,0.59181,0.0,0.0,0.0,0.44849,0.0,1.0,0.0,0.0
